Name,UserName,Desc
Krisnuastra,Krisnuastra,I'M REAL BECAUSE I'M DIFFERENT
dreystrad,dreystrad,
Mark Ikle,Ikle3Mark,"Fortunate to be married to Jennifer, ecstatic to be Maddie's daddy, dedicated to all students reaching their potential and achieving their dreams."
lyn mitchell,lynmitch1,
monserrat villicana,VillicanaMonse,
jfcastro,jfcastro2,Spanish teacher at Harvard-Westlake School. Interested in institutional educational research.
RTM Education,RTMEducation,"RTM Education Congress
#2014EduCon - http://t.co/0BSDO3CyRD & RTM CIO Congress
#2014CIOCon - http://t.co/DMJzUbbGTH"
LindaDarling-Hammond,LDH_ed,Charles E. Ducommun Professor of Education at Stanford University and Faculty Director of the Stanford Center for Opportunity Policy in Education.
Lori Mustille,hoopmath,"STEM teacher, 4th gr, ADE 2009, passionate about numbers, the outdoors, hulahoops, design thinking and inquiry learning. Conquering dragons daily..."
Mr. Taylor Lewis,TeachMrLewis,"- 7th Grade Social Studies Teacher | 
- Heritage MS, Westerville, Ohio | 
- Creating a PLN with #SSChat #FlipClass and others | @MiamiUniversity Graduate |"
Vince J. Rosato,biovr,Christian humanist male traveler and truth seeker
Shalene1,Shalene1,A special educator looking for ways to integrate tech into my teaching & learning experiences while ensuring that all lessons are universally designed!
FightingZebrasPrinc,PrincipalJBerns,
Rigo Palacios,rigo_palacios,Principal of @BachrodtCharter
Merry Thach,merrythach,I ramble about food & rant about injustice.
Bachrodt Charter,BachrodtCharter,"Charter School in San Jose Unified School District, emphasis on student achievement, language acquisition, and 21st century learning"
Norman Buffong,NormanBuffong,EcoGuy. Big on: Arts. Biz. Co-ops. Domaining. Empathy. Ethics. Feminism. Gaia. Inner God. Joy! Justice. LOA. LOHAS. Music. NBA. Om. Qi. New Media. Tech. Vegan.
beherenowfolks,beherenowfolks,"Wife, mommy, teacher. Enjoy reading, fitness, and the outdoors."
Brenda Aleman,BreAleman323,
Will & Company,willandcompany,"Arts in Education programs for all ages, from elementary to college."
CenterCollabEd,CCEBOSTON,We believe that schools should prepare every student to achieve academically and make a positive contribution to a democratic society.
Kristina Campa-Gruca,kraygrukes,Educator in Detroit. Graduate student at UMich Ford School. Native Los Angeleno.
Dr. P. Martin~Knox,DrPenK,"Mother, Wife, Educator, Musician, and Leader!"
Jessica Gallucci,JessieGallucci,"Political Science prof @ Chabot College, Global Learning enthusiast, Oakland native, A's & USMNT fan, obsessed w/ Rome & Italy, Nico's wife"
Gayle Larson,ichoh,I choose hope over hate. No Party Preference is psychologically liberating. Can't everyone just get along? Go (SF) Giants!
Kristy,kvanherick,
Tara Binns,tarabinns,"Let's inspire girls to do amazing things. Finally...  stunning picture books about girls becoming pilots, engineers, doctors, firefighters, astronauts..."
ERS,ERStrategies,Education Resource Strategies is a non-profit organization dedicated to improving resource allocation in urban education systems.
Carol Green,cphgreen,"President Ninth District PTA, Serving San Diego and Imperial Counties."
Stephanie Burns,elevate2educate,"National Faculty @biepbl | Founder @couragetriumphs | Former Sr. Director @GalileoLearning | Inspiring innovation, one keiki at a time | education & environment"
SilverDart Learning,SilverDartLearn,Game Based Learning for High School Math and Science.
Kauffman Foundation,KauffmanFDN,Fostering economic independence by advancing education & entrepreneurship. RTs ≠ endorsements. House Rules http://t.co/3KCleuKur3
Brothers Sons Selves,BrosSonsSelves,#EveryStudentMatters
LaDay Smith,LaDayVSmith,Child of God who is an Educator that is proud to be a UC Irvine Alumnus/John Muir High Alumnus and Jackson Elementary Alumnus
Matthew Ellinger,matthewellinger,
CALewis,rastorize,
Power of Democracy,POWofDemocracy,"Giving Californians knowledge, tools, opportunity to appreciate, understand, protect the Power of Democracy."
Stop Hurting Kids,End_RS,Join the campaign to end restraint and seclusion abuse in schools.
TASH,TASHtweet,"Equity, Opportunity, and Inclusion for People with Disabilities Since 1975"
ryanhive,ryanhive,"Helping southern California education and government clients implement wireless connectivity with the performance, ease and efficiency of Aerohive wireless."
MarvelllousMarvella,MarvelllousPoet,"ZETA PHI BETA/SPOKEN WORD ARTIST
 Alabama State University/
 FVSU Alumni/
 Educational Consultant since 1988
 Motivational Speaker"
Ken Dauber,KennethDauber,"PAUSD school board candidate and Google engineer. Passionate about education, technology, and preparing kids for our 21st century world."
Get Informed,GetInformed2,News and Podcast Network
Champion Educational,ChampionEdSvcs,"Hi!  We are a new, global company dedicated to matching students with the right tutor, advocate or consultant to meet our clients' academic needs."
Maria Giampa,mariagrazia014,"ANCORA IMPARO,"
Claudia Keller,MissClod3434,"LA's Promise, Health for all, Quality Education for all, Soccer, Travel, Gardening, Cats, Human Rights, Politics, Fashion, Pop Culture...yep that sums it up."
Alex Johnson,JohnsonCampaign,
Allison Arzuman,asarzuman,
Debbie Lamb,lambdebbie,"Happily Married Better Partner, Marketing Consultant, Spiritual Being, Fun Mommy and Midwestern Gal!"
Zuri Pommerenk,Zoogsta,"Premature Cat Lady, Trail-blazing Hippie, Farmer's Daughter, Lover of Photography, Poetry, Nature, and Political Discussions"
VillageFamilyService,thevillagefs,The Village Family Services is Southern California’s leading bilingual family wellness agency providing safety and permanency to children and youth.
Paul Vargas,Uvargpa,
Toni Allen,tallentoni,
Evonne Trent,etrent_BUSD,
Dan Bauman,danbauman77,Fellow at the Medill Justice Project. Data journo. Let's do this Twitter thing. Tweets = my own. Email me: danbauman77@gmail.com
Headed For College,Headed4College,"Educational Consultant, Certified Educational Planner, former admissions officer, dedicated to helping students create great college & graduate school options"
Voleine,Voleine,Arts & Entertainment Publicist. Director of Public Relations @BerkeleyRep
Paul Revere School,PaulRevereSF,Paul Revere is a PreK-8 public school in SFUSD with Spanish Immersion and English/GenEd programs.
"Stacie Ryan, Ed.D.",SRyan3rdgrade,"3rd grade teacher, 1:1 iPads, M.A.Ed in elem ed, Ed.D. In instructional leadership, site & union leadership, CCSS ELA unit design team for district."
Karol Hixon,karol_hixon,
kate ,babybellarose,"Epicurea-ous thinker, educator, reader, lover of all that life has to offer..."
Kristy Dietrich,KristyDietrich,Educator and Dedicated Lifelong Learner
Natalie Abad Merritt,NRAbadMerritt,"Wife, Mum, international educator, life-long learner... Interested in music, cooking, food, wine, travel ...All views my own @uwcsea_east"
ACSA_Alicia,aauasara,
Trent Allen ,TrentAllen78,
CAFairshare,CAFairshare,"California Fair Share is a project of Fair Share, Inc., registered as Fair Share Alliance, Inc. in California."
Lauren Sosenko,LaurenSosenko,
Jorma Enkenberg,jormaenkenberg,knowing means ability to learn
LMU SOE,LMUsoe,Loyola Marymount University School of Education
Paayal Zaveri,paayalzaveri,@ucdavis student. Intern @TalkRadioNews. Also worked @CaliforniaAggie and @SFPublicPress.
Dale Singer,Dalesinger,"Reporter with St. Louis Public Radio, specializing in education."
Chris Roe,CSLNet_roe,CEO and President of @caSTEMLearning
Sara McClafferty,SaraMcClafferty,"#Edu policy w/ a focus on #EdData, #HigherEd & #Equity. Federal Policy Coordinator at @EdDataCampaign (DQC). Views are my own. Retweets ≠ endorsements."
Interactive Learning,ilec_now,Where Experience and Excellence Meet
Micah Ali,mrmicahali,"President, Compton Unified School District, representing Carson, Compton, East & West Rancho Dominguez, Enterprise, Mona Park, Rosewood and Willowbrook."
Angelique Mullen,Library_Ang,"Recently widowed mother of two, K-5 Teacher Librarian, coastal hiker, nature/science lover, story reader. I adore coffee & kids' books. All Tweets are my own."
Ellie Becerra,elliegonzo,
Jesse M Najera,jnajera97,
TinyBellini,TinyBellini,As unobtainable as a Harry Winston...
Josh Daniels,JoshsFeed,"Berkeley School Board member.  Priorities: effectiveness in the classroom, efficient use of resources, and open and transparent decision-making."
Chris Ungar,chrisungar,"Vice President CSBA; Trustee, San Luis Coastal USD; retired special educator/ speech pathologist.  State and local educational leadership for school excellence."
Kimberly R,RosesandBurgers,
ALearn,ALearn4KIDS,We inspire underserved students to achieve ~ Free Math and College Readiness programs ~ Founded in 2007 ~ Over 6400 students served.
Irene Strayer,istrayer,What we do in life echoes in eternity...
bowsercrushes,namefortweeting,
Clayton Rosa,clayton_rosa,"Boston native living an LA dream, & building people up along the way. That foundation starts with children: @GPS_LA http://t.co/ixEwyuunC9"
SMFC School District,SMFCSD,"The San Mateo-Foster City School District operates 20 elementary and middle schools serving approximately 12,000 students from preschool through 8th grade."
Michael Cullen,CullenMiguel,
Rachel Hurd,RMSHurd,"Board of Education member, Wife, Mother of 3, Education advocate, Reading  tutor, PTA member.  My tweets reflect my own opinions & retweets aren't endorsements."
Sue Horowitz,regogtr,"Real Estate Go-Getter/licensed broker specializing in academic, religious, specialty health care & senior facilities"
Allison McDonald,NoFlashCards,"Educator,mom,writer,and runner. Founder of No Time For Flash Cards. I believe play is education and reading is a basic need."
Edsby,Edsby,Part robot. Part alien. All cute. Edsby is a modern learning management system (LMS) for K-12 school districts.
Diana Mercado-Garcia,dmercadogarcia,
Stand Up ,4PublicSchools,"Join America's 90,000 school board leaders, 13,500+ public school districts, 50 million public school children to stand up for public education."
Sonya Heisters,SonyaHeisters,Education nerd. Bay Area native. Supporter of students. Obsessed with #studentvoice.
WISE,WISETELS,"The Web-based Inquiry Science Environment (http://t.co/DO6P8zxjl6) from the University of California, Berkeley. (Tweets mostly from @cfmatuk & @donn00)"
MDR,MDRBiz,We know education. Grow with us. | A D&B company | Owner of WeAreTeachers and EdNET | Discussing #education #edtech #eddata and much much more
David Hyun,dhyun12002,
Leah Smith,Smith_LeahM,"Youth law advocate, special education attorney, proud mama to Eli the Pup, Queen of burrata toasts, fan of Boston Legal, The West Wing, and Meryl Streep."
Leapwood Avenue,LeapwoodAvenue,Where learning is king!
Robert Hull,rhull258,"Director of College, Career, and Civic Readiness at the National Association of State Boards of Education"
Brian Conant,JTHS_English,Curriculum Director of English and Fine Arts at Joliet Township High School District 204
"Haas, Jr. Fund",HaasJrFund,"The Haas Jr. Fund seeks to fulfill our founders’ vision of a just & caring society where all people are able to live, work & raise their families with dignity."
Alicia Ausara,amled1,
Joanne Weiss,JoanneSWeiss,Education consultant; former Chief of Staff to Secretary of Education Arne Duncan; ed entrepreneur; all-around ed geek.
East Bay Center,EastBayCenter,East Bay Center for the Performing Arts: Developing Young Artists Re-Imagining the World.
Fernando Morales,Fernandodomr,"I know of only one duty, and that is to love.-Albert Camus"
Melinda Cook,MELCookMc,"Life's work in education, striving to SAVE THE TEACHERS! Obsessed with 5 grandkids, 1 super cool nephew, a Yorkie named Champ and fine red wine!"
Kathy Powell-Manning,kpowellmanning,"Mom, educator, technology enthusiast"
hallye jordan,hallyejordan,"Deputy Controller, Communications for California Controller John Chiang"
Amy Illingworth,AmyLIllingworth,"Director of Ed Services, leader, learner, coach, reader, writer, thinker"
Kris Sanchez,KrisNBC,"Sleep-deprived midday anchor and morning reporter, Telemundo 48 contributor, mother of 2 rowdy little chicks and wife to one patient man"
Kathy Fairbanks,Kathy_Fairbanks,
Suzy Costa,SuzyCosta,"Work in Education Policy. A former math teacher too!
I just want to laugh & improve myself everyday."
Mike Simpson,MikeSimpsonKFBK,"Anchor/Reporter for KFBK Radio. Opinions are mine, etc. etc."
Peter Hegarty,Peter_Hegarty,"Reporter for the Bay Area News Group, the newspaper chain in the San Francisco Bay Area. Comments are my own & RTs are not endorsements. Updates: @insidebayarea"
@keeplearning123,keeplearning123,Any sufficiently advanced technology is indistinguishable from magic. - Arthur C. Clarke.  Tweets are my own.
Kelly Matteri,KMatteri,Learner. Educator. Explorer of Ideas.
Suleyman Bahceci,sbahceci,"Suleyman Bahceci, CMOs, Charter schools, non-profits, education research, STEM education"
Mark Grisafe,EdTechMrG,"Ed Tech Teacher, Cardiff School District | Lead Instructor, Digital Media Academy (Tweets are my own)"
Truenorthlogic,Truenorthlogic,Educators Excel Students Succeed #talentmanagement #educatoreffectiveness #professionalgrowth #studentachievement
Vaadra Martinez,Vaadra,"Vaadra Martinez is a diversity champion, respected people/program manager, community advocate, and mother of six, with over 19 years’ experience in HR."
Liz McDonald,lizmcd,
Karen Arthur,Alliance4CAS,The Alliance for California Adult Schools is a grassroots group created to share information about the current state of adult schools in California.
Fultonslc,fultonslc,
Yolanda Williams,YolandaBW,"Coordinator, Services for Exceptional Children"
Joshua Eby,NPHS_principal,
Anne Stanton,Anne4Irvine,"Program Director, Youth Program @IrvineFdn"
ehaspel,ehaspel,Passionate about providing equal opportunities by finding the third way in education; all opinions solely my own.
Lisa Keogh,lisamkeogh5,SPED Teacher; behaviors
Gevirtz School,GGSEucsb,"The Gevirtz School  is comprised of the Department of Counseling, Clinical and School Psychology, the Department of Education and the Teacher Education Program."
Michael Shaw,michaelshawCA,
John R. Walkup,jwalkup,"STEM, prof develop, #CognitiveRigor, #DOK, standards alignment, engagement, grant writing. Sooner PhD. Cognitive Rigor Blog: http://t.co/bYi2UKnfLC"
Kelly,KellyKress2008,"Wife, Mother, Friend, Bibliophile, Lover of Wine, Food, and the Great Outdoors!"
Dan Deguara,DanDeguara,
GOBLET,mygobletorg,"The Global Organisation for Bioinformatics Learning, Education and Training"
Dr. Torres,JosemtorresM,"President, Illinois Mathematics and Science Academy (IMSA), igniting and nurturing creative, ethical, scientific minds that advance the human condition"
Rob McGowan,robmcgowan7,
CA Launch Festival,CALaunchFest,An Incubator Event for thousands of Young Entrepreneurs. Join us along with celebrity speakers & performers on the weekend of September 27th & 28th 2014!
bo.huot,BoHuot,Teacher Educator Tech Ed
Mark Norwood,MarkNorwood8,23 years an educator: Southern California Sales Representative for McGraw-Hill Specialized Solutions Group
Duarte Unified,duarteusd,This is the official Twitter site for the Duarte Unified School District. Follow Superintendent Nichols and stay up to date with the latest DUSD news.
Kimberly Collins,KC_Principal,"Proud McLane Highlander, 1985!"
Jasmine Escalante,escalantejq,"Wife, Mother, Educator, EdTech Explorer"
Demonta Mohajeri,MutuJaleesa,Will start running a parody Gervinho account!!! It's gonn be all about banter tho
Yves Gurcan,YvesGurcan,"Native French, student of English literature, digital expert, occasional cheesemaker, bon vivant."
mdeily,mdeily,Mary-Ellen Deily is the deputy Commentary editor at Education Week.
Katie Furtick,KHF06,
Nicole Beasley,Neecole301,"mom, teacher, reader, human(sometimes)"
Agim Salavd Zeka,AgimSalavdZeka,
Julie Flapan,flapster123,
Bob Hively,eedapt,"Entrepreneur focused on digital media for education, and employment. Created educationally enhanced version of Super Size Me and  award winning Algebra'scool."
EAdultEducation.org,EAdultEd,
jaime,corbinafly,angler
Saa'un P. Bell,SaaunB,Oakland Tribune's Voices | Ed Organizer | Writer | Literature Junkie | INTJ | Angler #Corona Standard.
Tziona Breitbart,tbreitbart,
Dwaine Smith,dsmith619,"SDSU alumni, San Diego native, Modern day Renaissance Man"
MillbraeEdFoundation,MillbraeEdFound,"Funding music & technology education in Millbrae's public schools. We serve over 2,500 economically & ethnically diverse students. Volunteer-run 501(c)(3)."
Sacramento State FA,SacStateFinAid,Working closely with incoming & continuing students of #CSUS to help fund and achieve their academic success. Have questions about FA? Tweet us #AskSacFA.
MCSV,MCSVolunteers,Marin County School Volunteers' mission is to help children realize their potential in school with the assistance of community volunteer tutors.
SALSA,SBCSSLeaders,"San Bernardino County Association of Leaders for School Administration

A charter member professional organization in Region 12 of ACSA"
Doug Lederman,dougledIHE,Doug Lederman is co-editor and co-founder of Inside Higher Ed. Dad. Weekend warrior.
Eve Kedar,kineretk,"EdD. Technical communicator, Ensighten Academy Manager, Reporting & Analytics, STEM booster, Bridge builder, Curriculum Designer"
Racquel Huerta,Xicanaraq,"Education Specialista in San Francisco, my LA roots still shine through."
Val Muchowski,philopol,
VCOECEC,CareerEdCenter,Ventura County Office of Education~Career Education Center/ROP 465 Horizon Circle Camarillo CA 93010 (805)437-1424 Commitment to Quality Education for All. #CTE
ml87_,ml87_,it takes courage to grow up and become who you really are  ❤❤ future elementary teacher
Billy Aydlett,billyaydlett,Principal at EGUSD
Jeff Dahl,jdahlcroslex,"Husband, Dad, Elementary Tech Teacher"
Loren Farrar,LorLorFarrar,A Bay Area social worker who cares about early childhood wellbeing.
Advancement Courses,AdvanceTeaching,"Since 1988, we have provided high-quality professional development courses for teachers. We offer online and print courses on the subjects teachers need."
Jessica Rowley,JessAKAJrow,"Grant Writer, Consultant, Business Owner, Wifey Extraordinaire and full-time Super Mom!"
Judi Moreillon,CactusWoman,"Author, Presenter, Educator, Advocate for Children's and YA Literature and Libraries"
Lisa M. Gross,lisamgross,
PowerfulEd.org,PowerfulEdOrg,The Center creates and supports programs that improve learning and teaching in public schools by equipping teachers and administrators with resources they need.
Kenny Silva,eye_B_a_teechr,"Dept. Head of the Dept. of Redundancy Dept. (actually, an 8th grade teacher), tech educator, coach, trainer, author, #merit13 cohort, #SVCUE be the yellow ball"
CRAI Suport Docència,SDocenciaCRAIUB,"Unitat de Suport a la Docència del CRAI de la Universitat de Barcelona, adreçada a tota la comunitat d'usuaris."
Enric Blasco,kykeblas,"Geologist retrained into computer technician/professor focused in Moodle/Drupal/Web 2.0 and e-learning.
CRAI-Unitat Docència (Universitat Barcelona)"
Javier Rios,jxr8488,"ROP Instructor at John H. Francis Polytechnic HS (LAUSD), teaching Computer Repair, and CISCO Networking Academy"
CityYearLA,CityYearLA,"give a year. change the world. 
http://t.co/BhBYEjRqxs"
Autry Education,AutryEd,Find out what the Autry education department is doing in the museum and around Los Angeles!
Erica R. Hamilton,ericarhamilton,"All things learning, edtech, & literacy. Teacher. Researcher. NWP fellow. Parent. Asst. ed. prof. @ Grand Valley State U. Moving forward. Ready + Set = Go!"
Daarel,Daarel,"Bureau chief of @ChalkbeatTN in Memphis, TN.  Former AJC education reporter. Hampton U., Columbia U. graduate.  Send tips to dburnette@chalkbeat.org."
Neil Virani,neil_virani,"Professional Development Services, Professional Speaker, Blended Learning Specialist, iPad in the Classroom, Game-Based Learning, Special Education Teacher"
Kristina Holzweiss,lieberrian,"Edmodo, Glogster, and Awesome Stories Ambassador. Creator of http://www.commoncoreconversation.coma database of  free resources"
Mindy Taylor,MindyTaylor7,
EastLANancy ,eastLAnancy,"Human being from planet earth. Proud to be from East L.A , UCLA grad, Public Transpo Advocate , immigrant rights ."
Jeff Scott,jdscott50,Director of the Berkeley Public Library
West County Schools,WCCUSD,"Located in the East Bay, the West Contra Costa Unified School District (WCCUSD) serves more than 30,000 K-12 students."
InterpreterEd.com,InterpreterEd,"Medical, Healthcare Interpreting Traninging"
Meghan Parpos,megparpos,
Mary Arias,arias_marye2,
SEIU Kids First,seiu_el,"Representing 80,000 early learning and care professionals."
First5 Alameda ,First5Alameda,"We fund, support and promote early childhood services to help prepare kids for success in school and reach their full potential."
 Adriana Katanić,AdrianaCuriel,"Love Astrophysics - Lakers for Life - PTA Mom - STEM Advocate - Political Activist, Community Leader, and Karaoke Addict!"
Pat Christiansen,pchristi6618,
ParentsTeachers4Tuck,parentsfortuck,Paid for by Parents and Teachers for Tuck for State Superintendent 2014. Not authorized by a candidate or a committee controlled by a candidate.
CCRSCenter,CCRSCenter,"The College & Career Readiness & Success Center @AIR works to inform, align & support efforts to ensure all students are ready for success in college & careers."
Sophie Quinton,squintonNJ,Staff Correspondent @nationaljournal. Brit writing about America. RTs/MTs aren't endorsements.
Aaron Goldstein,aaronjgoldstein,Manager for Govt Relations @AACTE; @AmericanU alum; RTs/Views are my own.
Jacqui Breitenbucher,JBreitenbu,
Denise M Vela,CALanguageLover,"Learning Life through Language and Literature. English Ed Credential Student @ CSU Fresno. Student teaching in Porterville, CA. http://t.co/Py4A8O5jF6"
Short red roslyn j,Shortred3,
Cheryl Ward,cheryl58777642,
Ruthann Jaquette,RJaquette,"Midwest mom of 4 boys, Michigan PTA Board Member, Education, Family Engagement, & Healthy Lifestyles advocate, lives in Grand Ledge, MI"
Mr.Lightfoot,MrCLightfoot,Mr. Lightfoot's Social media Challenge
UC Center Sacramento,UCCenterSac,"Connecting students and faculty with the California policy community through internships, events, and by fostering collaborative research."
jax higgs,jaclynkellye,Mom. Activist. Lover of dark chocolate.
Karen Dabney-Lieras,Dr_KDL,"24 years in education, former English and Theatre Teacher for 14 years (Teach For America Alum '91) currently Principal of Ball Junior High School in AUHSD."
1BLESSEDmom,romy_chachere,"God, Family and everything else!!                                     My Life is M.A.D. 

Wife, Mom, Friend, Sister, Daughter

Lover of Life!!!"
Lupe Arias,larias71,
Leilani Carbonell,imateachermama,Mama of 3 beautiful kids. My classroom is now my home! Implementation Manager at Illuminate Education
L.I.F.T. Foundation,LIFTfdn,Learning Inspires Freedom Tomorrow. LIFT provides opportunities to low-income students achieving academic success. Founded by Robert & Susan Kozlowski in 2008
Michelle Bell,webmichellebell,
Paradise CCCS,ParadiseCCCS,Children's Community Charter School is a K-8 public charter school with an emphasis on parent involvement and 21st Century skills.
Priscila Alvarado,UscAlvarado,
Susana Alvarado,EDTE201,
Kiko Labs,kiko_labs,Building cognitive games for kids
S Kong,SKong81,
Miesha Clipper,lady_m78,"Higher ed in counseling students in transition to college 
Expertise: Students of Color in CA  
Ed.D degree 2013
Interest: Making a Difference everyday."
Charles Koppelman,koppelman,"Making Zero Day documentary: cyber surveillance and Internet freedom. Writer, filmmaker, runner, worrier. PGP: https://t.co/ZO9TVQqDag"
Alonzo A. Crim CUEE,AlonzoACrimCUEE,"The Alonzo A. Crim Center for Urban Educational Excellence is an interdisciplinary, city-wide laboratory for the development of excellence in urban education."
Jerome C. Pandell,JeromePandell,#SRVUSD '14 Candidate ★ Cheers @NorthwesternU 'Cats ★ Attorney ★ @uchastingslaw #BOG | @CharlotteIn2012 #dnc2012 #CA11 #gen44 ☆ @CoCoYoungDems + @CA_Dem Finance
Rachel Elginsmith,wavesandmusic,"Parent, ED and advocate for education for all children, cellist, artist, swimmer."
Abe Doctolero,adoctolero99,"Assistant Superintendent, Educational Services - Pittsburg Unified School District
It's not about going fast, it's knowing that you can."
Micah Alexi Grant,alexigrant,Comms Consultant - @SenateRepCaucus. Vice Chair CBM http://t.co/aepkQjwAHP. MBA. Opinions are my own.
edu policy,edpolicy1,
Don Austin,DonAustin_PVP,Superintendent of the Palos Verdes Peninsula USD - Removing barriers and creating memories... http://t.co/2kcTcuo0oz #WorldClass #OneTeam
Colleen ,dr_patten,
Jessica,Weasley_heart,
Sarina Sande,Sarina715,
Jamie Andres-Larsen,jstewal2,"Teacher/Educator, Parent, TriYoga Practitioner, Vegetarian, Geologist, Computer Scientist"
Jodi Lewis,lewis_jodi02,Higher ed research and policy
Matt Itelson,mattitelson,"Publicist in San Francisco Bay Area. I occasionally share my opinion here. Tweets, RTs and links are not endorsements."
SF State Arts,sfstatearts,Please follow our account @SFStateLCA for all things Liberal and Creative Arts at San Francisco State University. This account is inactive. #SFSU
Miranda Hayes,mirandajohayes,"Educator, world citizen, advocate, maestra bilingüe, Fulbright-García Robles alumna and homeowner!"
Crystal Byrd,crystalbyrd419,"Christian, Teacher, Author, Musician, Trendsetter, Mother, Wife, Coach, Leader"
CHS Webpage,CourtlandHSWeb,"Our Mission:

Learning for all ~ Educate, Equip, and Inspire."
ihellaloveshorts,hellaloveshorts,A quarterly event showcasing unique short films from all over the world
Leslie Mains,LeslieMains1,
Monica Martinez,drmonie,"Education Strategist, Presidential Appointee, Speaker, Author, Deeper Learning, http://t.co/MK3mJeb9BI. Hopeful we can reimagine teaching and learning."
Jennifer Cruz,jencBIE,"Educator. Director of Implementation, BIE. Caution! Opinions tweeted from this account are my own and do not reflect BIE's stance.  
@BIEPBL"
Michelle Eichinger,meichinger1,Love the outdoors-- and reading-- music-- good friends--
nyfincham,nyfincham,
Avital Andrews,avitalb,"Editor (@sierra_magazine), writer (@latimes, @pacificstand, etc.), Army wife, mother of a daughter, environmentalist, vegetarian, traveler, lover of big ideas."
Libby Hurdelbrink,MsLibbyWO,
Aubrey Francisco,aubreyfrancisco,"scientist | research director @DigitalPromise | interested in all things science, education, and science education | tweets are my own"
Bernardo Jenkins,Bernardokomodo,
Pull my Deasy,PullmyDeasy,"Subversive art soldier 4 resistance 2 corp. ed. reform free market free 4 all Nick's mom iPad devotee, gonzo citizen reporter, poet, artist"
Crystal Middle ,CrystalMiddleCA,Crystal Middle School the home of the Cougars. No Excuses University and Innovation are the guiding forces behind our daily successes. Let's Be Awesome!
Rebecca Klein,rklein90,Education Editor @HuffingtonPost & soup enthusiast. Tell me your story: Rebecca.Klein@huffingtonpost.com
Imagyd US Applieds,ImagydUSapplied,"@ImagydUSculture;HERE=General #US #applieds,#psi,#edu,#health,#STEM, #soSci,#psy,#journo,#lit PLUS @imagydUSenterp,@imagydArts +@imagydStyle.#imagyd"
Laura Owen,LauraOwenSDSU,
The 600K Project,600Kproject,"The 600K Project supports effective urban teachers – educators who create $600,000 in additional lifetime earnings for every class they teach."
Admissions Table,AdmissionsTable,
Whats Finder,WhatsFinder,We make Finding Products & Services simple
Marlon Ng,NgMarlon,"Curriculum Coordinator,  Ed D Student, American Int School HK"
APS IT Department,APSInstructTech,Atlanta Public Schools Instructional Technology Page...Inform. Inspire. Innovate.
California DGS,CalifDGS,"DGS oversees real estate, buying & selling, fleet & surplus, publishing, school construction, admin hearings, business services for Calif state govt."
Matthew Gudenius,MatthewGudenius,"Teacher, programmer, educational technologist"
Joel Miller,BaltiJo,
SchoolJusticeProject,SJP_DC,School Justice Project is a legal services nonprofit providing free special education representation to youth involved in DC's juvenile justice system.
Indigo Project,IndigoProj,"We are Indigo. We believe every student has unique strengths, skills, and motivators. Our Goal: Give you the confidence to take charge of your education."
Krishana Davis,KrishanaDavis,Recovering journalist. Digital media specialist. Fashion enthusiast. Political geek. RT≠Endorsements #MSUAlum
JBE,msjbe20a,
Aleksandar,w1f3ofyours,
Kayla Gabrielse,KaylaGabrielse,"LOVE Jesus, dogs, coffee, America,Freedom,Guns. My own political opinions"
DocRunning,Doc_Running,"Education researcher, author, advocate for social justice, infrequent tweeter, and of course, runner. Follows/RTs do not reflect endorsement."
KCAA,KCAAPreschools,Building a solid future for Hawaii's children through excellent early learning programs with hands-on activities in 7 accredited centers across Oahu.
HBCSchools,HBCSchools,"Supporting academic & personal development so our students achieve success and fulfillment in a global environment as responsible, well-rounded individuals"
Sherrie Ryan,teach_ryan,
Jiayi,jiayipathways,
California DFER,CaliforniaDFER,California Democrats for Education Reform aims to promote progressive changes in support of strong school systems.
Sasha Pudelski,SPudelski,"Associate Director Policy & Advocacy, AASA"
The Equity Project,equityprojectiu,"The Equity Project at IU provides evidence-based information specific to issues of school discipline, school violence, special education and education equality."
Wendy Owen,wowen1,I cover education issues in Washington County for The Oregonian.
AIMMS,ceo_aimms,
Kristin DeVivo,kristindevivo,Executive Director of GLEF Research
Michael Meotti,meotti,"Higher education policy, technology and finances: what's worth checking out today"
Jody Weissler,JapanMath,"Founder of http://t.co/F9dpKqx6.  JapanMath is a math program dedicated to improving math fluency for K-12 students.  Math Facts, Abacus (Soroban), & Origami."
Matt Britten,matt_britten,"Teacher, Instructional Coach"
Shelly Roberson,sroberson2,Real Estate Professional & Investment Consultant Serving The Peninsula and Silicon Valley 25+ Years - 600+ Closed Transactions - Cal Alum - Go Bears!
Wesley Sever,SeverWesley,
Brian Dote,midpacifictech,"Personal account of the Chief Innovation Officer at Mid-Pacific. Multiple patent holder, award winning silicon valley engineer, and startup CTO."
MtMadonnaYMCA,MtMadonnaY,"We're for youth development, healthy living and social responsibility."
Ellen Falsey,EllenFalsey,Educator who loves to teach Reading. It unlocks all other subjects.  Tutor in all subjects and provide professional development & mentoring to other teachers.
Kacey Guin,kkg257,
Angela Rothermel,AngelaRothermel,
Alyssa Davis,AlyssaDinOB,Partnering with organizations to build an education system that prepares children to succeed in tomorrow's global marketplace.
Tammy Lakes,SolutionTracker,"Creating solutions in education, fighting for the kids struggling with school, poverty and life.  Momma to a sparky little girl.  Dancer, reader, Ducati lover."
SewallChildDevCtr,SewallChildDevC,"For 70 years and beyond, Sewall says YES to children and families. All learners welcome here for high-quality early education. We are much more than a school!"
